Year,Month,County,2012 Census Population,Population 18+ Estimate, Registry Enrollments,% Eligible Population Enrolled,OPO,Location,Chart Month
2015,11,Albany,304204,236306,73949,31.29,Center for Donation and Transplant in New York,"(42.678066, -73.814233)",11 (Nov)
2015,11,Allegany,48946,38021,13096,34.44,UNYTS,"(42.226801, -78.020567)",11 (Nov)
2015,11,Bronx,1385108,1075952,155634,14.46,New York Organ Donor Network,"(40.85589, -73.868294)",11 (Nov)
2015,11,Broome,200600,155826,54088,34.71,Center for Donation and Transplant in New York,"(42.122015, -75.933191)",11 (Nov)
2015,11,Cattauragus,80317,62390,22278,35.71,UNYTS,"(42.224267, -78.606673)",11 (Nov)
2015,11,Cayuga,80026,62164,19762,31.79,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",11 (Nov)
2015,11,Chautauqua,134905,104794,39326,37.53,UNYTS,"(42.246904, -79.315313)",11 (Nov)
2015,11,Chemung,88830,69003,27113,39.29,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",11 (Nov)
2015,11,Chenango,50477,39211,11766,30.01,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",11 (Nov)
2015,11,Clinton,82128,63797,22439,35.17,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",11 (Nov)
2015,11,Columbia,63096,49013,19135,39.04,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",11 (Nov)
2015,11,Cortland,49336,38324,13687,35.71,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",11 (Nov)
2015,11,Delaware,47980,37271,10861,29.14,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",11 (Nov)
2015,11,Dutchess,297488,231089,72963,31.57,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",11 (Nov)
2015,11,Erie,919040,713910,259078,36.29,UNYTS,"(42.888143, -78.795544)",11 (Nov)
2015,11,Essex,39370,30583,11715,38.31,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",11 (Nov)
2015,11,Franklin,51599,40082,13465,33.59,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",11 (Nov)
2015,11,Fulton,55531,43136,12630,29.28,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",11 (Nov)
2015,11,Genesee,60079,46669,17562,37.63,UNYTS,"(43.000121, -78.172679)",11 (Nov)
2015,11,Greene,49221,38235,13672,35.76,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",11 (Nov)
