pop_2012,chart_month,county,eligible_population_enrolled,location,month,opo,population_18_estimate,registry_enrollments,year,dummy_day,date
304204,11 (Nov),Albany,31.29,"(42.678066, -73.814233)",11,Center for Donation and Transplant in New York,236306,73949,2015,01,2015-11-01
48946,11 (Nov),Allegany,34.44,"(42.226801, -78.020567)",11,UNYTS,38021,13096,2015,01,2015-11-01
1385108,11 (Nov),Bronx,14.46,"(40.85589, -73.868294)",11,New York Organ Donor Network,1075952,155634,2015,01,2015-11-01
200600,11 (Nov),Broome,34.71,"(42.122015, -75.933191)",11,Center for Donation and Transplant in New York,155826,54088,2015,01,2015-11-01
80317,11 (Nov),Cattauragus,35.71,"(42.224267, -78.606673)",11,UNYTS,62390,22278,2015,01,2015-11-01
80026,11 (Nov),Cayuga,31.79,"(42.940095, -76.560755)",11,Finger Lakes Donor Recovery Network,62164,19762,2015,01,2015-11-01
134905,11 (Nov),Chautauqua,37.53,"(42.246904, -79.315313)",11,UNYTS,104794,39326,2015,01,2015-11-01
88830,11 (Nov),Chemung,39.29,"(42.116644, -76.812331)",11,Finger Lakes Donor Recovery Network,69003,27113,2015,01,2015-11-01
50477,11 (Nov),Chenango,30.01,"(42.481798, -75.570013)",11,Finger Lakes Donor Recovery Network,39211,11766,2015,01,2015-11-01
82128,11 (Nov),Clinton,35.17,"(44.731944, -73.548883)",11,Center for Donation and Transplant in New York,63797,22439,2015,01,2015-11-01
63096,11 (Nov),Columbia,39.04,"(42.276913, -73.682168)",11,Center for Donation and Transplant in New York,49013,19135,2015,01,2015-11-01
49336,11 (Nov),Cortland,35.71,"(42.597101, -76.143291)",11,Finger Lakes Donor Recovery Network,38324,13687,2015,01,2015-11-01
47980,11 (Nov),Delaware,29.14,"(42.242972, -74.997944)",11,Center for Donation and Transplant in New York,37271,10861,2015,01,2015-11-01
297488,11 (Nov),Dutchess,31.57,"(41.686216, -73.840468)",11,Center for Donation and Transplant in New York,231089,72963,2015,01,2015-11-01
919040,11 (Nov),Erie,36.29,"(42.888143, -78.795544)",11,UNYTS,713910,259078,2015,01,2015-11-01
39370,11 (Nov),Essex,38.31,"(44.166026, -73.685145)",11,Center for Donation and Transplant in New York,30583,11715,2015,01,2015-11-01
51599,11 (Nov),Franklin,33.59,"(44.705699, -74.340621)",11,Center for Donation and Transplant in New York,40082,13465,2015,01,2015-11-01
55531,11 (Nov),Fulton,29.28,"(43.06014, -74.331296)",11,Center for Donation and Transplant in New York,43136,12630,2015,01,2015-11-01
60079,11 (Nov),Genesee,37.63,"(43.000121, -78.172679)",11,UNYTS,46669,17562,2015,01,2015-11-01
49221,11 (Nov),Greene,35.76,"(42.298326, -73.973376)",11,Center for Donation and Transplant in New York,38235,13672,2015,01,2015-11-01
4836,11 (Nov),Hamilton,38.86,"(43.618468, -74.395268)",11,Center for Donation and Transplant in New York,3757,1460,2015,01,2015-11-01
